B1_7_9,B5_7_9,L_7_9,BV_9,B1_8_10,B5_8_10,L_8_10,BV_10,q_0,q_1,q_2,q_7,q_8,q_9,q_10,bondlenth_0_1,bondlenth_1_2,bondlenth_7_9,bondlenth_8_10
1.7,7.429655268,5.762915917,0.681909243,2.0329402,7.471872464,5.643044577,0.678875093,-1.039,2.00608,-0.08846,-0.86861,-0.87723,-0.03173,-0.02345,1.492461888,1.425098326,1.469337527,1.465053659
1.763279339,6.178445086,5.437438467,0.718586936,2.94329715,6.131729587,5.546592582,0.721353196,-1.05405,2.00334,-0.0853,-0.86786,-0.8706,-0.02687,-0.02759,1.49680308,1.418537217,1.467995202,1.472725425
1.881914233,4.481564676,7.858581057,0.814503354,2.107571053,4.460685041,7.854735801,0.823087495,-1.03787,2.01448,-0.08186,-0.86954,-0.87554,0.14501,0.14983,1.491571387,1.418034735,1.431233814,1.430350176
2.511160428,7.837607726,8.802872776,0.770918748,2.420968412,9.496304934,8.92249349,0.795669493,-1.02937,1.99388,-0.06051,-0.82913,-0.8555,0.19396,0.18414,1.491552848,1.407959255,1.42242772,1.422483039
3.241268436,5.805107251,7.884604689,0.728161107,3.238822434,5.792851325,7.451796447,0.720037039,-1.03607,1.98974,-0.06491,-0.81513,-0.81882,0.20575,0.20125,1.493148887,1.416837408,1.411603777,1.415446462
2.498408555,7.825819853,8.816507618,0.757273807,3.312831395,5.78357472,7.860565362,0.727765095,-1.03586,1.99049,-0.06464,-0.82563,-0.82039,0.19595,0.19816,1.493470611,1.409121573,1.426772948,1.41343027
2.271799834,7.314955348,9.140093187,0.74858484,3.23087711,5.789356141,7.86574298,0.727759271,-1.05277,1.98111,-0.04809,-0.8092,-0.81854,0.16537,0.20092,1.496007992,1.406871716,1.410507929,1.411813711
2.26097378,7.441783968,9.045662036,0.750104827,3.226319818,5.806635488,7.883355529,0.727916511,-1.05289,1.98168,-0.05022,-0.81405,-0.81648,0.1397,0.20235,1.495990133,1.407518342,1.414995183,1.410651264
2.082491888,7.128397955,6.825053237,0.789397363,3.23307222,5.661710971,7.875627244,0.737397503,-1.04888,2.00165,-0.06535,-0.85305,-0.82186,0.17462,0.19581,1.495789461,1.417023108,1.426887448,1.415188255
2.11077941,8.697151857,6.8162737,0.773935427,3.246658441,5.651684038,7.88061997,0.735848397,-1.03479,1.99543,-0.06296,-0.85406,-0.82574,0.17603,0.19525,1.491745814,1.416939255,1.423281528,1.416338124
2.133222719,7.531585869,6.815888992,0.782443859,3.235696175,5.794801757,7.873675062,0.728993897,-1.04455,1.99868,-0.06398,-0.86722,-0.82185,0.15617,0.19919,1.495207995,1.416425402,1.428772871,1.414075094
2.129720671,5.618643923,6.82359096,0.788215151,3.202001057,5.827735053,7.90005358,0.730496413,-1.02866,2.01086,-0.07993,-0.86059,-0.82647,0.15205,0.20242,1.488524293,1.42114647,1.433867221,1.415173484
2.191401152,5.797566725,6.817644876,0.824013464,3.239003916,5.667872642,7.879343463,0.741823518,-1.03504,1.99238,-0.06593,-0.87125,-0.82482,0.1483,0.19578,1.49304727,1.414812881,1.440614679,1.411846323
3.272607933,7.745754799,8.943389725,0.795710259,3.308821178,7.640055499,7.880152572,0.732814247,-1.04623,1.99781,-0.06236,-0.86882,-0.82179,0.16255,0.19683,1.496172646,1.415852333,1.427723256,1.413030475
2.138740757,5.620992308,8.93160767,0.78815109,3.2380642,5.700839644,7.899607203,0.734369176,-1.03157,2.01219,-0.08111,-0.8614,-0.82624,0.12192,0.20039,1.489304869,1.42136683,1.433991242,1.414908292
2.264382911,7.098997379,8.923378122,0.788110324,3.20344813,5.82865052,7.900864155,0.730047987,-1.02988,2.0113,-0.08134,-0.86185,-0.8258,0.12344,0.20321,1.488978831,1.421323441,1.434069441,1.414539629
3.306335396,5.621367532,6.819065097,0.830652488,3.247841298,5.655760742,7.876324697,0.742009877,-1.04479,2.01345,-0.07278,-0.87657,-0.82737,0.15065,0.19355,1.493575342,1.41834546,1.433463453,1.415746328
1.768576493,5.755097425,6.830145379,0.817712216,3.207738335,5.832708275,7.904978402,0.731486442,-1.01958,2.00444,-0.08075,-0.87054,-0.82707,0.17739,0.20253,1.487834744,1.419894457,1.430681544,1.415146564
2.4895425,5.773905068,6.818994627,0.835369689,3.207909175,5.833375475,7.905408475,0.730374115,-1.02053,2.00726,-0.08357,-0.87697,-0.82613,0.17833,0.20296,1.48812442,1.419359637,1.431469944,1.414709255
1.7,5.82706759,6.831293287,0.7997985,3.421974388,5.799622328,8.564306665,0.742365123,-1.04506,2.01078,-0.06828,-0.87822,-0.829,0.16451,0.18313,1.494080192,1.417576989,1.428944615,1.416072256
3.255904593,5.784713481,7.864161333,0.736494829,2.133421014,7.247931722,8.91682859,0.801347605,-1.03029,1.99937,-0.07248,-0.82109,-0.86797,0.20344,0.13611,1.49236305,1.415918172,1.409276506,1.42471192
3.243154335,5.662813957,7.884312526,0.746202944,1.914012742,5.737091852,6.874175712,0.810653886,-1.03681,1.99826,-0.06581,-0.82177,-0.8773,0.19907,0.17183,1.493651508,1.415879531,1.410791601,1.428926947
