ligand,er
O=P1([H])N([C@@H](C2=C(C=CC=C3)C3=CC=C2)C)CCN1[C@@H](C4=CC=CC5=C4C=CC=C5)C,36.5
O=P1([H])N([C@@H](C2=CC=CC=C2)C)[C@@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)N1[C@@H](C5=CC=CC=C5)C,50
O=P1([H])N(C2=C(C)C=C(C)C=C2C)[C@@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)N1C5=C(C)C=C(C)C=C5C,75.5
O=P1([H])N(C2=CC(C34C[C@H]5C[C@H](C[C@@H](C5)C4)C3)=CC=C2C)[C@@H](C6=CC=CC=C6)[C@H](C7=CC=CC=C7)N1C8=C(C)C=CC(C9%10C[C@H]%11C[C@H](C[C@@H](C%11)C%10)C9)=C8,65
O=P1([H])N(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)[C@@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)N1C5=CC(C(C)(C)C)=CC(C(C)(C)C)=C5,69
O=[P@]1([H])N(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)[C@@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)N1C5=C(C)C=CC(C67C[C@H]8C[C@H](C[C@@H](C8)C7)C6)=C5,88
O=[P@]1([H])N(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)[C@@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)N1C5=C(OC)C=CC(C67C[C@H]8C[C@H](C[C@@H](C8)C7)C6)=C5,67.5
O=[P@]1([H])N(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)[C@@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)N1C5=C(OC)C=C(OC)C(C67C[C@H]8C[C@H](C[C@@H](C8)C7)C6)=C5,83.5
O=[P@]1([H])N(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)[C@@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)N1C5=C(C6=CC=CC=C6)C=CC=C5,81
O=[P@]1([H])N(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)[C@@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)N1C5=C(C6=CC=C(C=CC=C7)C7=C6)C=CC=C5,86
O=[P@]1([H])N(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)[C@@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)N1C5=C(C6CCCCC6)C=CC=C5,89
O=[P@]1([H])N(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)[C@@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)N1C5=C(C(C)C)C=CC=C5,94.5
O=[P@]1([H])N(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)[C@@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)N1C5=C(C(C)(C)C)C=CC=C5,93.5
O=[P@]1([H])N(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)[C@@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)N1C5=C(C(C)C)C=CC(C67C[C@H]8C[C@H](C[C@@H](C8)C7)C6)=C5,91.5
O=[P@]1([H])N(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)[C@@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)N1C5=C(C(C)C)C=C(OC)C=C5,96
O=[P@]1([H])N(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)[C@@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)N1C5=C(C(C)C)C=C(OCC6=CC=CC=C6)C=C5,96.5
O=[P@]1([H])N(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)[C@@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)N1C5=C(C(C)C)C=CC=C5C(C)C,92
O=[P@]1([H])N(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)[C@@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)N1C5=C(C=CC=C6)C6=CC=C5C,95
O=[P@]1([H])N(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)[C@@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)N1C5=C(C=CC=C6)C6=CC=C5CC,94.5
O=[P@]1([H])N(C2=CC(C(C)(C)C)=C(OC)C(C(C)(C)C)=C2)[C@@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)N1C5=C(C=CC=C6)C6=CC=C5C,93.5
O=[P@@]1([H])N(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)[C@@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)N1C5=C(C(C)C)C=C(OCC6=CC=CC=C6)C=C5,49
O=[P@@]1([H])N(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)[C@@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)N1C5=C(C=CC=C6)C6=CC=C5C,50
